dataset,cid,client_name,domain,sup_type,backbone,blended,delta_blended_minus_backbone
prostate,0,client1,Domain1,block,0.060861590494737224,0.06051739775962677,-0.0003441927351104518
prostate,1,client2,Domain2,keypoint,0.010053477328734546,0.010055141085276234,1.6637565416876415e-06
prostate,2,client3,Domain3,scribble,0.026164448906299355,0.02617158125684644,7.132350547084387e-06
prostate,3,client4,Domain4,keypoint,0.021518113693469888,0.021622045153918183,0.00010393146044829563
prostate,4,client5,Domain5,scribble,0.04419044506068175,0.04428270939980269,9.226433912093435e-05
prostate,5,client6,Domain6,box,0.007668696273341993,0.007734632796715284,6.593652337329083e-05
