dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
faz,2,client3,Domain3,block,20,bg_expansion,backbone,1226948,0.9979273775253719,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_20_dice_0.0562.pth
faz,2,client3,Domain3,block,510,bg_expansion,backbone,1226948,0.07709454679415917,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_510_dice_0.769.pth
faz,2,client3,Domain3,block,950,bg_expansion,backbone,1226948,0.09314331169699124,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_950_dice_0.8213.pth
faz,2,client3,Domain3,block,2350,bg_expansion,backbone,1226948,0.03145039561578812,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_2350_dice_0.8335.pth
faz,2,client3,Domain3,block,3170,bg_expansion,backbone,1226948,0.024035248437586598,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_3170_dice_0.7865.pth
faz,2,client3,Domain3,block,20,bg_expansion,blended,1226948,0.9972068905935704,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_20_dice_0.0562.pth
faz,2,client3,Domain3,block,510,bg_expansion,blended,1226948,0.07725021761313437,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_510_dice_0.769.pth
faz,2,client3,Domain3,block,950,bg_expansion,blended,1226948,0.09156459768466145,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_950_dice_0.8213.pth
faz,2,client3,Domain3,block,2350,bg_expansion,blended,1226948,0.03281394158513645,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_2350_dice_0.8335.pth
faz,2,client3,Domain3,block,3170,bg_expansion,blended,1226948,0.02332535690184099,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_2_iter_3170_dice_0.7865.pth
faz,3,client4,Domain4,box,20,bg_expansion,backbone,9043733,0.995977545997875,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_20_dice_0.1663.pth
faz,3,client4,Domain4,box,510,bg_expansion,backbone,9043733,0.1374119514585404,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_510_dice_0.8822.pth
faz,3,client4,Domain4,box,950,bg_expansion,backbone,9043733,0.08042807101890337,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_950_dice_0.8813.pth
faz,3,client4,Domain4,box,2350,bg_expansion,backbone,9043733,0.025312887941295922,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_2350_dice_0.9294.pth
faz,3,client4,Domain4,box,3170,bg_expansion,backbone,9043733,0.013068054972432292,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_3170_dice_0.9277.pth
faz,3,client4,Domain4,box,20,bg_expansion,blended,9043733,0.9958100266781428,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_20_dice_0.1663.pth
faz,3,client4,Domain4,box,510,bg_expansion,blended,9043733,0.13742157137987157,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_510_dice_0.8822.pth
faz,3,client4,Domain4,box,950,bg_expansion,blended,9043733,0.07903063922829212,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_950_dice_0.8813.pth
faz,3,client4,Domain4,box,2350,bg_expansion,blended,9043733,0.02593199069455058,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_2350_dice_0.9294.pth
