dataset,cid,client_name,domain,sup_type,backbone,blended,delta_blended_minus_backbone
odoc,0,client1,Domain1,scribble,0.2074916810497997,0.20729451735189172,-0.0001971636979079816
odoc,1,client2,Domain2,scribble_noisy,0.2498161731852081,0.24977411376763156,-4.205941757653986e-05
odoc,2,client3,Domain3,scribble_noisy,0.19541022666640814,0.1805141245046414,-0.014896102161766733
odoc,3,client4,Domain4,keypoint,0.1923449005030183,0.19221287827985015,-0.00013202222316816004
odoc,4,client5,Domain5,block,0.050497664592497306,0.050208949358825104,-0.00028871523367220153
