dataset,cid,client_name,domain,sup_type,backbone,blended,delta_blended_minus_backbone
faz,0,client1,Domain1,scribble_noisy,0.19919759384460153,0.19710475469515024,-0.0020928391494512977
faz,1,client2,Domain2,keypoint,0.19407175654346548,0.1934339426534857,-0.0006378138899797714
faz,2,client3,Domain3,block,0.24473017601397942,0.24443220087566875,-0.00029797513831067435
faz,3,client4,Domain4,box,0.25043970227780943,0.25018916414272735,-0.000250538135082079
faz,4,client5,Domain5,scribble,0.16568896690981713,0.1567980166725404,-0.008890950237276735
