dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
prostate,1,client2,Domain2,keypoint,3160,bg_expansion,backbone,41901735,0.0071692019435472066,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_3160_dice_0.7137.pth
prostate,1,client2,Domain2,keypoint,150,bg_expansion,blended,41901735,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_150_dice_0.0.pth
prostate,1,client2,Domain2,keypoint,450,bg_expansion,blended,41901735,0.008394664325952135,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_450_dice_0.5061.pth
prostate,1,client2,Domain2,keypoint,1080,bg_expansion,blended,41901735,0.011115363122791933,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_1080_dice_0.6051.pth
prostate,1,client2,Domain2,keypoint,1530,bg_expansion,blended,41901735,0.021928328266120723,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_1530_dice_0.6745.pth
prostate,1,client2,Domain2,keypoint,2380,bg_expansion,blended,41901735,0.012015779298876287,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_2380_dice_0.5979.pth
prostate,1,client2,Domain2,keypoint,3040,bg_expansion,blended,41901735,0.009749095115035213,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_3040_dice_0.7334.pth
prostate,1,client2,Domain2,keypoint,3160,bg_expansion,blended,41901735,0.007182757468157345,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_1_iter_3160_dice_0.7137.pth
prostate,2,client3,Domain3,scribble,150,bg_expansion,backbone,52176748,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_2_iter_150_dice_0.0.pth
prostate,2,client3,Domain3,scribble,450,bg_expansion,backbone,52176748,0.04485340864861873,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_2_iter_450_dice_0.3606.pth
prostate,2,client3,Domain3,scribble,1080,bg_expansion,backbone,52176748,0.04750907434859681,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/prostate/FedLPPA_official_clean_prostate_paper_r500_l10_20260429_054819_seed2022/client_2_iter_1080_dice_0.3943.pth
