dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
odoc,1,client2,Domain2,scribble_noisy,970,bg_expansion,backbone,12968426,0.06761182891431851,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_970_dice_0.3312.pth
odoc,1,client2,Domain2,scribble_noisy,1520,bg_expansion,backbone,12968426,0.07729388285054793,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_1520_dice_0.396.pth
odoc,1,client2,Domain2,scribble_noisy,1930,bg_expansion,backbone,12968426,0.13755454979655973,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_1930_dice_0.5298.pth
odoc,1,client2,Domain2,scribble_noisy,2520,bg_expansion,backbone,12968426,0.11386956289067,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_2520_dice_0.5861.pth
odoc,1,client2,Domain2,scribble_noisy,3000,bg_expansion,backbone,12968426,0.09899034778777316,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3000_dice_0.6033.pth
odoc,1,client2,Domain2,scribble_noisy,3290,bg_expansion,backbone,12968426,0.07918023359195633,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3290_dice_0.6534.pth
odoc,1,client2,Domain2,scribble_noisy,3920,bg_expansion,backbone,12968426,0.08736395611926999,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3920_dice_0.6649.pth
odoc,1,client2,Domain2,scribble_noisy,10,bg_expansion,blended,12968426,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_10_dice_0.09.pth
odoc,1,client2,Domain2,scribble_noisy,480,bg_expansion,blended,12968426,0.5843889613126527,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_480_dice_0.5313.pth
odoc,1,client2,Domain2,scribble_noisy,970,bg_expansion,blended,12968426,0.0669640247783347,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_970_dice_0.3312.pth
odoc,1,client2,Domain2,scribble_noisy,1520,bg_expansion,blended,12968426,0.07957172289065767,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_1520_dice_0.396.pth
odoc,1,client2,Domain2,scribble_noisy,1930,bg_expansion,blended,12968426,0.1338706794486856,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_1930_dice_0.5298.pth
odoc,1,client2,Domain2,scribble_noisy,2520,bg_expansion,blended,12968426,0.11580773179412829,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_2520_dice_0.5861.pth
odoc,1,client2,Domain2,scribble_noisy,3000,bg_expansion,blended,12968426,0.10015864685506166,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3000_dice_0.6033.pth
odoc,1,client2,Domain2,scribble_noisy,3290,bg_expansion,blended,12968426,0.07866475083406421,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3290_dice_0.6534.pth
odoc,1,client2,Domain2,scribble_noisy,3920,bg_expansion,blended,12968426,0.08854050599509918,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_1_iter_3920_dice_0.6649.pth
odoc,2,client3,Domain3,scribble_noisy,10,bg_expansion,backbone,41191596,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_10_dice_0.1017.pth
odoc,2,client3,Domain3,scribble_noisy,480,bg_expansion,backbone,41191596,0.640401843133245,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_480_dice_0.4858.pth
odoc,2,client3,Domain3,scribble_noisy,970,bg_expansion,backbone,41191596,0.01782329580043463,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_970_dice_0.7139.pth
odoc,2,client3,Domain3,scribble_noisy,1520,bg_expansion,backbone,41191596,0.017050589639692523,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_1520_dice_0.7191.pth
odoc,2,client3,Domain3,scribble_noisy,1930,bg_expansion,backbone,41191596,0.03162125594745103,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_1930_dice_0.7771.pth
odoc,2,client3,Domain3,scribble_noisy,2520,bg_expansion,backbone,41191596,0.013584348613246255,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_2520_dice_0.7941.pth
odoc,2,client3,Domain3,scribble_noisy,3000,bg_expansion,backbone,41191596,0.01749038808790026,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3000_dice_0.7789.pth
odoc,2,client3,Domain3,scribble_noisy,3290,bg_expansion,backbone,41191596,0.00919772567200358,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3290_dice_0.8321.pth
odoc,2,client3,Domain3,scribble_noisy,3920,bg_expansion,backbone,41191596,0.011522593103700084,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3920_dice_0.8157.pth
odoc,2,client3,Domain3,scribble_noisy,10,bg_expansion,blended,41191596,0.8664180431367602,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_10_dice_0.1017.pth
odoc,2,client3,Domain3,scribble_noisy,480,bg_expansion,blended,41191596,0.6385852832699175,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_480_dice_0.4858.pth
odoc,2,client3,Domain3,scribble_noisy,970,bg_expansion,blended,41191596,0.01835806507715797,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_970_dice_0.7139.pth
odoc,2,client3,Domain3,scribble_noisy,1520,bg_expansion,blended,41191596,0.017620487441176107,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_1520_dice_0.7191.pth
odoc,2,client3,Domain3,scribble_noisy,1930,bg_expansion,blended,41191596,0.031425949118359,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_1930_dice_0.7771.pth
odoc,2,client3,Domain3,scribble_noisy,2520,bg_expansion,blended,41191596,0.01388312314968325,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_2520_dice_0.7941.pth
odoc,2,client3,Domain3,scribble_noisy,3000,bg_expansion,blended,41191596,0.01750526976424997,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3000_dice_0.7789.pth
odoc,2,client3,Domain3,scribble_noisy,3290,bg_expansion,blended,41191596,0.00924880405216637,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3290_dice_0.8321.pth
odoc,2,client3,Domain3,scribble_noisy,3920,bg_expansion,blended,41191596,0.011582095532302269,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_2_iter_3920_dice_0.8157.pth
odoc,3,client4,Domain4,keypoint,10,bg_expansion,backbone,43907591,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_10_dice_0.0643.pth
odoc,3,client4,Domain4,keypoint,480,bg_expansion,backbone,43907591,0.700378050802195,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_480_dice_0.4701.pth
odoc,3,client4,Domain4,keypoint,970,bg_expansion,backbone,43907591,0.005265695401052634,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_970_dice_0.7966.pth
odoc,3,client4,Domain4,keypoint,1520,bg_expansion,backbone,43907591,0.006667412019939787,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_1520_dice_0.8495.pth
odoc,3,client4,Domain4,keypoint,1930,bg_expansion,backbone,43907591,0.01070933269830267,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_1930_dice_0.8701.pth
odoc,3,client4,Domain4,keypoint,2520,bg_expansion,backbone,43907591,0.0014951856502443963,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_2520_dice_0.8751.pth
odoc,3,client4,Domain4,keypoint,3000,bg_expansion,backbone,43907591,0.0026738201146129835,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3000_dice_0.8651.pth
odoc,3,client4,Domain4,keypoint,3290,bg_expansion,backbone,43907591,0.0023034513553704186,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3290_dice_0.8405.pth
odoc,3,client4,Domain4,keypoint,3920,bg_expansion,backbone,43907591,0.0016111564854469015,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3920_dice_0.8657.pth
odoc,3,client4,Domain4,keypoint,10,bg_expansion,blended,43907591,1.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_10_dice_0.0643.pth
odoc,3,client4,Domain4,keypoint,480,bg_expansion,blended,43907591,0.7003877302218653,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_480_dice_0.4701.pth
odoc,3,client4,Domain4,keypoint,970,bg_expansion,blended,43907591,0.005184821002819307,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_970_dice_0.7966.pth
odoc,3,client4,Domain4,keypoint,1520,bg_expansion,blended,43907591,0.0064814305116397755,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_1520_dice_0.8495.pth
odoc,3,client4,Domain4,keypoint,1930,bg_expansion,blended,43907591,0.009959599013300456,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_1930_dice_0.8701.pth
odoc,3,client4,Domain4,keypoint,2520,bg_expansion,blended,43907591,0.0014681516004829325,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_2520_dice_0.8751.pth
odoc,3,client4,Domain4,keypoint,3000,bg_expansion,blended,43907591,0.0026274500006160666,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3000_dice_0.8651.pth
odoc,3,client4,Domain4,keypoint,3290,bg_expansion,blended,43907591,0.002232438577648225,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3290_dice_0.8405.pth
odoc,3,client4,Domain4,keypoint,3920,bg_expansion,blended,43907591,0.001574283590279412,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_3_iter_3920_dice_0.8657.pth
odoc,4,client5,Domain5,block,10,bg_expansion,backbone,2294841,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_10_dice_0.0.pth
odoc,4,client5,Domain5,block,480,bg_expansion,backbone,2294841,0.11357039550888275,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_480_dice_0.0814.pth
