client,sup_type,n_samples,labeled_ratio,mean_d_fg,mean_d_bg,bin,bin_range,bin_frac_mean,bin_frac_std
client1,keypoint,550,0.00074951171875,129.99731705078204,108.61019296616358,0,"[0.00, 0.25)",1.0,0.0
client1,keypoint,550,0.00074951171875,129.99731705078204,108.61019296616358,1,"[0.25, 0.50)",0.0,0.0
client1,keypoint,550,0.00074951171875,129.99731705078204,108.61019296616358,2,"[0.50, 0.75)",0.0,0.0
client1,keypoint,550,0.00074951171875,129.99731705078204,108.61019296616358,3,"[0.75, 1.00)",0.0,0.0
client2,scribble,327,0.022279698549789756,133.93721746298496,53.36770867264165,0,"[0.00, 0.25)",0.9965579116826476,0.0030931146954468482
client2,scribble,327,0.022279698549789756,133.93721746298496,53.36770867264165,1,"[0.25, 0.50)",0.0034191301393136243,0.0030636813993214357
client2,scribble,327,0.022279698549789756,133.93721746298496,53.36770867264165,2,"[0.50, 0.75)",2.295817803899083e-05,9.375358275816774e-05
client2,scribble,327,0.022279698549789756,133.93721746298496,53.36770867264165,3,"[0.75, 1.00)",0.0,0.0
client3,box,170,0.9209911870021447,158.61674029144604,1.838837412539022,0,"[0.00, 0.25)",0.9972625134037989,0.0030300852360673064
client3,box,170,0.9209911870021447,158.61674029144604,1.838837412539022,1,"[0.25, 0.50)",0.001139043670853758,0.0006950533742944048
client3,box,170,0.9209911870021447,158.61674029144604,1.838837412539022,2,"[0.50, 0.75)",0.0007916219873366015,0.0009009150020964481
client3,box,170,0.9209911870021447,158.61674029144604,1.838837412539022,3,"[0.75, 1.00)",0.0008068209380106209,0.001619853332849497
client4,block,900,0.8494788577232831,102.99601334088841,10.063569577466327,0,"[0.00, 0.25)",0.8986887764636404,0.09504059519851639
client4,block,900,0.8494788577232831,102.99601334088841,10.063569577466327,1,"[0.25, 0.50)",0.007206609278549387,0.0036037899027233583
client4,block,900,0.8494788577232831,102.99601334088841,10.063569577466327,2,"[0.50, 0.75)",0.009687424647955268,0.0055393362404078305
client4,block,900,0.8494788577232831,102.99601334088841,10.063569577466327,3,"[0.75, 1.00)",0.08441718960985718,0.08673879261774482
