client,sup_type,n_samples,labeled_ratio,mean_d_fg,mean_d_bg,bin,bin_range,bin_frac_mean,bin_frac_std
client1,scribble_noisy,244,0.021636462602459015,80.79383137242675,28.10309691075229,0,"[0.00, 0.25)",0.9998778671514793,0.0002488000359944617
client1,scribble_noisy,244,0.021636462602459015,80.79383137242675,28.10309691075229,1,"[0.25, 0.50)",0.00012213284852074794,0.00024880003599446075
client1,scribble_noisy,244,0.021636462602459015,80.79383137242675,28.10309691075229,2,"[0.50, 0.75)",0.0,0.0
client1,scribble_noisy,244,0.021636462602459015,80.79383137242675,28.10309691075229,3,"[0.75, 1.00)",0.0,0.0
client2,keypoint,150,0.0015868123372395834,83.68802116201165,63.42857631567393,0,"[0.00, 0.25)",1.0,0.0
client2,keypoint,150,0.0015868123372395834,83.68802116201165,63.42857631567393,1,"[0.25, 0.50)",0.0,0.0
client2,keypoint,150,0.0015868123372395834,83.68802116201165,63.42857631567393,2,"[0.50, 0.75)",0.0,0.0
client2,keypoint,150,0.0015868123372395834,83.68802116201165,63.42857631567393,3,"[0.75, 1.00)",0.0,0.0
client3,block,200,0.8925339508056641,82.61380858565211,1.9296298065187465,0,"[0.00, 0.25)",0.984885482788086,0.009441124257755637
client3,block,200,0.8925339508056641,82.61380858565211,1.9296298065187465,1,"[0.25, 0.50)",0.004522705078125,0.0014478452180882694
client3,block,200,0.8925339508056641,82.61380858565211,1.9296298065187465,2,"[0.50, 0.75)",0.004130096435546875,0.001763186657072843
client3,block,200,0.8925339508056641,82.61380858565211,1.9296298065187465,3,"[0.75, 1.00)",0.006461715698242188,0.00646739466721343
client4,box,708,0.7512571259407,83.0764052978399,5.873088427182645,0,"[0.00, 0.25)",0.9858176883331127,0.004331278230277642
client4,box,708,0.7512571259407,83.0764052978399,5.873088427182645,1,"[0.25, 0.50)",0.004107803948181497,0.0005445413679438648
client4,box,708,0.7512571259407,83.0764052978399,5.873088427182645,2,"[0.50, 0.75)",0.004553498521362994,0.0010890827358877296
client4,box,708,0.7512571259407,83.0764052978399,5.873088427182645,3,"[0.75, 1.00)",0.005521009197342867,0.0027088974624517384
client5,scribble,30,0.03165842692057292,73.836972243776,36.23858015560957,0,"[0.00, 0.25)",0.9980901082356771,0.0017963385616270602
client5,scribble,30,0.03165842692057292,73.836972243776,36.23858015560957,1,"[0.25, 0.50)",0.0019098917643229167,0.00179633856162706
client5,scribble,30,0.03165842692057292,73.836972243776,36.23858015560957,2,"[0.50, 0.75)",0.0,0.0
client5,scribble,30,0.03165842692057292,73.836972243776,36.23858015560957,3,"[0.75, 1.00)",0.0,0.0
