round,slot_0_std,slot_1_std,slot_2_std,slot_3_std
50,0.09904752394684078,0.08109934648318691,0.07468872471799208,0.06350424867676178
100,0.0764905850415592,0.07629556736796705,0.05758644284899007,0.0686546895703418
150,0.12954500376317105,0.05470094697534953,0.06675925104433092,0.08511914003324987
200,0.10105722339348137,0.0828306609897567,0.06642678977641474,0.05234092089369464
250,0.056339378768318,0.07561424733474507,0.056569094035524375,0.05712450962590403
300,0.05215276023375944,0.06296308759900518,0.07943602709098688,0.07691561609972321
350,0.03681436676081773,0.018438655048565785,0.026746109997530482,0.03533104017715867
400,0.04372343078945203,0.07581233672694702,0.05920462819746443,0.0272857178758412
450,0.08334174464216598,0.09444246078962577,0.03878301690173162,0.054866179017679
500,0.045756721910556485,0.049961248983587274,0.04457239504446669,0.04301262140349041
550,0.055900790692082335,0.04279236380477245,0.05545444977637052,0.04674672181019757
600,0.04547001649438892,0.05970124286813467,0.06464957849823925,0.04018862525640807
650,0.05609290151168862,0.0655494744448802,0.07325105869542092,0.06553407052823744
700,0.036461234208402755,0.01936388390793542,0.02856932620836552,0.027830026949322212
750,0.06068507559524006,0.05743088367768685,0.05482311921078552,0.05635841019759162
800,0.08905705137719301,0.05887432717237625,0.09133615713396312,0.05926426916785527
850,0.04193044717147672,0.05377290767663582,0.04780517126838896,0.041700618700446154
900,0.06539135722708314,0.05386809816579754,0.057682281508276,0.05744424775380037
950,0.014960561486789186,0.013837832200167774,0.013462451485520752,0.0110864962905329
1000,0.04841166801505604,0.059621157318522425,0.04718400576466565,0.059114749428547865
1050,0.03234251690886163,0.032702048865476306,0.02222184510791126,0.0327660433986162
1100,0.02515468942364426,0.041679184253053704,0.037990072387401416,0.024987308778658023
1150,0.056364577528799066,0.05249435779205227,0.05206202454764894,0.05865297946396245
1200,0.0495380015745488,0.008157205403813253,0.010500857107874583,0.04314666151627493
1250,0.0493506393069026,0.05882504228642763,0.0468751362664686,0.061026702352330986
1300,0.027774635911205034,0.026610854928017635,0.028699588847229156,0.023012309749349365
1350,0.06887530762181755,0.05583212695214109,0.06126139404225143,0.061456273886398294
1400,0.03713535242864944,0.035956251195028655,0.03439677891896275,0.030329352119687625
1450,0.09635225788739982,0.10754915899252769,0.10168332409987393,0.1101593572966001
1500,0.04561122668817404,0.0329595266956308,0.03580700490127596,0.032645943086392834
1550,0.05027931582668961,0.044227385181581785,0.053270216819532465,0.04827946147172729
1600,0.04067910520156509,0.039373016140499054,0.037220080601739695,0.04465407484205668
1650,0.031107388189946128,0.0273709627159879,0.02342166518418363,0.025675903099988517
1700,0.031617868365846555,0.041062956542363103,0.03733702719821169,0.03727114701749865
1750,0.0757578141184129,0.06703291728695687,0.06130916407846384,0.07736486024029256
1800,0.050871036946380406,0.051316858828264214,0.04476790814858339,0.052435598594847754
1850,0.0348139397368353,0.03565975883261132,0.03307715828181133,0.04235575993887962
1900,0.06496778894190566,0.08302422297137142,0.06305697740932403,0.08061916893642602
1950,0.07447524689452194,0.06321685218357523,0.07403133390666414,0.07445271250935052
2000,0.07613711315777606,0.06559911584770026,0.07570866793175005,0.06537805748108458
2050,0.03538494595163316,0.04323427344133355,0.0369402544658263,0.042087290243017536
2100,0.0452519436046674,0.04672932269999212,0.04968426712753244,0.046361389107747834
2150,0.020761830362470455,0.01426598752277598,0.013294871191553523,0.016813042556301342
2200,0.053502261634439344,0.040902205319517916,0.053505715582543134,0.044354778772980046
2250,0.06835327058744153,0.059616997576194666,0.06412174046296623,0.06467492249705445
2300,0.13141038923920742,0.06758587426378385,0.12330346953756004,0.07380578839088435
2350,0.046699832976146716,0.028878684180550885,0.04205149224462789,0.03955444854880422
2400,0.06335307411641522,0.0599719401053526,0.05215068168298473,0.07113668533183141
2450,0.05051782259757441,0.06348276616531451,0.046473028737107284,0.06219538889660552
2500,0.0462270743179795,0.06254781850712303,0.05294632754025534,0.05254409196094267
2550,0.059799418057369096,0.06333354877156341,0.05224067380882449,0.06220378123554869
2600,0.07927485351610558,0.050510450403852075,0.06791719664414896,0.05115071847002738
2650,0.03307585221880157,0.03049009019337267,0.02962805427293531,0.03764904248450417
2700,0.018767994032394625,0.011048619823308242,0.014097290519812665,0.021941886883310655
2750,0.03506367921368206,0.05999456642063512,0.05661757324364936,0.03772230109630112
2800,0.0426520995966201,0.029136890705770222,0.03556687222683491,0.059756472452781206
2850,0.018138687934908627,0.01980874554331999,0.012313634719285765,0.017856875426568886
2900,0.03949845566601307,0.051006532914911994,0.0527931662244272,0.0360858420990837
2950,0.029466021109067313,0.04536152554753862,0.039607908301247115,0.0333166384858977
3000,0.08886442707855605,0.06565739562303702,0.08485542056934252,0.07399316184621388
3050,0.02784557415461208,0.032062626218075145,0.026429150572805,0.027887172678491445
3100,0.03663645179326186,0.05512465872910236,0.0473463578324669,0.042646059606955486
3150,0.051885103835301316,0.0733910457753533,0.06508764552509178,0.06463096471506517
3200,0.06883099883046885,0.04218527705254524,0.0641950901549332,0.049247757309343554
