round,client,slot_std
50,0,0.08008303113019637
50,1,0.12771769650287307
50,2,0.09053633248591418
50,3,0.01869175954799333
50,4,0.08316588843991267
100,0,0.04108399931846947
100,1,0.07241888565836951
100,2,0.05942369056192992
100,3,0.13699067486511626
100,4,0.02491519365768607
150,0,0.12332946474788578
150,1,0.05523551280652693
150,2,0.06284263580563756
150,3,0.06024447588783555
150,4,0.13819284532854803
200,0,0.048311870953213966
200,1,0.1206504532730814
200,2,0.09431938758813056
200,3,0.07382565187656659
200,4,0.07778574740914947
250,0,0.02229992993262535
250,1,0.050972805249466124
250,2,0.1035862563277581
250,3,0.06356199729398061
250,4,0.043041869150862874
300,0,0.02624738082171249
300,1,0.1145702268261698
300,2,0.08249282923381887
300,3,0.08226931384179645
300,4,0.03647981462398075
350,0,0.029041608082198214
350,1,0.055253161674242685
350,2,0.015685403246330647
350,3,0.027409247983116933
350,4,0.0590349261031129
400,0,0.06511610303911007
400,1,0.06689937873403608
400,2,0.14685231526945702
400,3,0.05307081943026694
400,4,0.029274733132857077
450,0,0.08977305762309759
450,1,0.05678949616786541
450,2,0.09175679811327335
450,3,0.09639631735704432
450,4,0.05461213235170368
500,0,0.037500024999991666
500,1,0.043983143077774685
500,2,0.08281402357089045
500,3,0.026872139382639406
500,4,0.06361228261900372
550,0,0.011365847966605924
550,1,0.018984467335166403
550,2,0.09551655288482724
550,3,0.05347136500034386
550,4,0.024959266816154662
600,0,0.035006169099174506
600,1,0.05700501622664447
600,2,0.08415806556712198
600,3,0.04438296407406788
600,4,0.060234847679727734
650,0,0.008035040447938017
650,1,0.1017693071362874
650,2,0.09150020150251037
650,3,0.032774189539941316
650,4,0.047020600538487396
700,0,0.03411945009814785
700,1,0.03466348042248498
700,2,0.03755671544477764
700,3,0.027263471440739172
700,4,0.003898316944528755
750,0,0.08066978988444187
750,1,0.021516897429694634
750,2,0.02834550228872299
750,3,0.09442982844419447
750,4,0.02916542259251526
800,0,0.014235760429285125
800,1,0.06390612255488515
800,2,0.034075614447871654
800,3,0.01836183201644106
800,4,0.1839046220191325
850,0,0.026875360462698908
850,1,0.058271433824816775
850,2,0.023734929429008216
850,3,0.07859858061695515
850,4,0.011079711187571627
900,0,0.05566924644720816
900,1,0.024724216367763806
900,2,0.07685892921450312
900,3,0.07788454195153233
900,4,0.0419853769186368
950,0,0.007880474287757063
950,1,0.022616296668552954
950,2,0.0030581857366746047
950,3,0.015341997099465233
950,4,0.01390368656148433
1000,0,0.12608208387792455
1000,1,0.03936051320803631
1000,2,0.043580069986176015
1000,3,0.049017413997476444
1000,4,0.0699721551761842
1050,0,0.05787820725454442
1050,1,0.0832884558327263
1050,2,0.003781781987370504
1050,3,0.06496658275606006
1050,4,0.06399618640981664
1100,0,0.016566079801811885
1100,1,0.061752348133492056
1100,2,0.02973906311570693
1100,3,0.033817996318528394
1100,4,0.009669281255605303
1150,0,0.05838404640824409
1150,1,0.05407478617618383
1150,2,0.07328708532204022
1150,3,0.07059217378718409
1150,4,0.06767414572789228
1200,0,0.011461893386347649
1200,1,0.07265295933408356
1200,2,0.026069953970039934
1200,3,0.013208780223775397
1200,4,0.011075959326396963
1250,0,0.10827665953473076
1250,1,0.014178747300096713
1250,2,0.030707368822482973
1250,3,0.09540168696097569
1250,4,0.009379232377972098
1300,0,0.03998639612418203
1300,1,0.0750153650927595
1300,2,0.0226711821482692
1300,3,0.006419258134706854
1300,4,0.03308537252321636
1350,0,0.11786834551736101
1350,1,0.03116753118230574
1350,2,0.07555555489174835
1350,3,0.010292321166772821
1350,4,0.011792873907576553
1400,0,0.04001364610979609
1400,1,0.019236212594999046
1400,2,0.03099704623024586
1400,3,0.056264975784230106
1400,4,0.011458048481307796
1450,0,0.05195984026149426
1450,1,0.048531503943315006
1450,2,0.1657052107659865
1450,3,0.03851781243788384
1450,4,0.1387487747693651
1500,0,0.016306517102066896
1500,1,0.011349531928674403
1500,2,0.002154501102343645
1500,3,0.030114894570627323
1500,4,0.08842025715298503
1550,0,0.04274149038112733
1550,1,0.08269534448806655
1550,2,0.04930803687027096
1550,3,0.02119532672548361
1550,4,0.03752075259106618
1600,0,0.013270338164493013
1600,1,0.03979918340870826
1600,2,0.008120152400047667
1600,3,0.07069888170968477
1600,4,0.03765836560447094
1650,0,0.032599338566909615
1650,1,0.009268899611064946
1650,2,0.04446753731656385
1650,3,0.02293087438367757
1650,4,0.003157035793271901
1700,0,0.01140591951576023
